                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55703,                0.42039,                0.81752,                0.97779,                0.99531,                  0.995,                0.86877,                0.56549,                0.34504,                0.80514,             0.00022094,             0.00022094,             0.00022094
                      2,                0.58711,                0.42941,                0.82299,                0.98958,                0.99754,                  0.995,                0.85266,                0.59776,                0.35614,                0.80807,             0.00042572,             0.00042572,             0.00042572
                      3,                0.59159,                0.42964,                0.82341,                0.99063,                      1,                  0.995,                0.85853,                0.60132,                0.36244,                0.80823,             0.00061289,             0.00061289,             0.00061289
                      4,                0.58379,                0.42351,                0.82938,                0.96605,                      1,                  0.995,                0.85551,                0.61155,                0.37677,                0.80942,             0.00058776,             0.00058776,             0.00058776
                      5,                0.57624,                0.41993,                0.82598,                0.98245,                0.99786,                  0.995,                0.85926,                0.58153,                0.34956,                 0.8049,             0.00058776,             0.00058776,             0.00058776
                      6,                0.58742,                0.42061,                0.81557,                0.97661,                0.99578,                  0.995,                0.86211,                0.57015,                0.34837,                0.80348,             0.00056135,             0.00056135,             0.00056135
                      7,                0.58754,                0.41027,                0.82536,                0.98416,                0.99613,                  0.995,                0.85835,                 0.5912,                0.35122,                0.80512,             0.00053493,             0.00053493,             0.00053493
                      8,                0.56874,                0.40264,                0.82218,                0.98428,                0.99961,                0.99466,                0.85243,                0.62594,                0.37696,                0.80938,             0.00050852,             0.00050852,             0.00050852
                      9,                0.57207,                0.40295,                0.82191,                0.97561,                 0.9956,                  0.995,                0.86289,                0.58846,                0.34907,                0.80903,             0.00048211,             0.00048211,             0.00048211
                     10,                0.55481,                0.39301,                0.81869,                0.98835,                0.99625,                  0.995,                0.85661,                0.59572,                0.34507,                0.80586,             0.00045569,             0.00045569,             0.00045569
                     11,                0.56663,                0.39425,                0.81902,                 0.9853,                0.99616,                  0.995,                0.86701,                0.57106,                0.34848,                0.80381,             0.00042928,             0.00042928,             0.00042928
                     12,                0.56144,                0.39105,                0.81518,                0.98049,                0.99648,                0.99466,                0.86955,                0.55962,                0.34149,                0.80155,             0.00040287,             0.00040287,             0.00040287
                     13,                0.54129,                0.37694,                0.82055,                0.97933,                0.99754,                  0.995,                0.86726,                0.58058,                0.34054,                 0.8045,             0.00037645,             0.00037645,             0.00037645
                     14,                0.53116,                0.36999,                0.81062,                0.98338,                0.99658,                  0.995,                0.87493,                 0.5685,                0.34289,                0.80221,             0.00035004,             0.00035004,             0.00035004
                     15,                0.53258,                0.37262,                0.81248,                0.99071,                0.99621,                  0.995,                0.86675,                0.56175,                0.32915,                0.80193,             0.00032363,             0.00032363,             0.00032363
                     16,                0.52978,                0.37028,                0.81849,                0.98178,                0.99656,                  0.995,                0.87652,                0.57122,                0.33875,                0.80265,             0.00029722,             0.00029722,             0.00029722
                     17,                0.51831,                0.36135,                0.81156,                0.98564,                0.99705,                  0.995,                0.87668,                 0.5441,                0.32256,                0.79872,              0.0002708,              0.0002708,              0.0002708
                     18,                0.50948,                 0.3576,                0.80369,                0.98079,                0.99725,                  0.995,                0.87014,                0.55339,                0.32394,                0.79926,             0.00024439,             0.00024439,             0.00024439
                     19,                0.50968,                0.35063,                0.80588,                0.98102,                      1,                  0.995,                0.88173,                  0.516,                0.30917,                0.79606,             0.00021798,             0.00021798,             0.00021798
                     20,                0.51555,                0.35128,                0.81379,                0.98655,                0.99436,                  0.995,                 0.8785,                0.52568,                0.31123,                0.79686,             0.00019156,             0.00019156,             0.00019156
                     21,                0.50774,                0.34782,                0.81208,                0.98213,                0.99704,                  0.995,                0.88233,                0.52282,                0.30795,                0.79586,             0.00016515,             0.00016515,             0.00016515
                     22,                0.49554,                0.33753,                0.80826,                0.98263,                0.99875,                  0.995,                0.88486,                0.51022,                0.30874,                0.79403,             0.00013874,             0.00013874,             0.00013874
                     23,                0.49569,                0.34522,                0.80921,                0.98339,                      1,                  0.995,                0.88794,                0.52236,                0.31148,                0.79418,             0.00011232,             0.00011232,             0.00011232
                     24,                0.49878,                0.34434,                0.80962,                0.97961,                      1,                  0.995,                0.88514,                0.52767,                0.31541,                0.79477,              8.591e-05,              8.591e-05,              8.591e-05
                     25,                0.49694,                0.33956,                0.80487,                0.97928,                      1,                  0.995,                0.88592,                0.51368,                0.30396,                0.79381,             5.9496e-05,             5.9496e-05,             5.9496e-05
